Date,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester,Unknown (Daily),Total
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-03-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-03-22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3
2020-03-23,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,4
2020-03-24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2020-03-25,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4
2020-03-26,0,0,0,0,2,1,1,0,3,0,1,0,1,1,0,10
2020-03-27,1,2,1,0,0,1,0,0,1,0,4,0,0,0,0,10
2020-03-28,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,9
2020-03-29,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4
2020-03-30,0,0,1,0,2,0,0,0,2,0,1,0,2,0,0,8
2020-03-31,0,1,0,0,6,2,7,1,9,0,2,2,1,2,0,33
2020-04-01,1,0,1,0,5,3,5,0,3,0,3,3,7,2,0,33
2020-04-02,0,1,0,0,1,1,3,1,8,0,6,1,6,4,0,32
2020-04-03,3,0,1,0,5,3,8,1,10,0,3,1,2,1,0,38
2020-04-04,0,3,1,0,2,1,7,0,0,0,1,1,5,3,0,24
2020-04-05,0,3,3,0,2,0,0,0,3,0,1,2,1,0,0,15
2020-04-06,1,0,0,1,3,1,4,0,6,0,3,4,4,1,1,29
2020-04-07,3,5,8,0,6,4,17,0,21,0,6,11,9,1,5,96
2020-04-08,1,2,7,0,15,4,8,0,11,0,6,7,8,2,6,77
2020-04-09,1,1,5,0,9,1,17,0,13,0,10,6,6,0,1,70
2020-04-10,1,1,5,0,19,0,7,1,16,0,14,8,17,0,7,96
2020-04-11,2,0,6,0,12,1,6,1,28,0,15,4,8,0,4,87
2020-04-12,1,0,4,0,10,2,10,1,12,0,12,4,7,0,7,70
2020-04-13,1,0,3,0,12,0,11,0,14,0,14,11,18,2,2,88
2020-04-14,0,1,7,0,12,0,19,0,25,0,18,11,14,0,6,113
2020-04-15,1,0,3,0,15,0,19,0,33,0,24,12,27,0,17,151
2020-04-16,0,3,7,0,19,0,10,0,37,0,26,4,19,2,10,137
2020-04-17,2,0,12,0,19,0,20,1,36,0,22,12,24,3,8,159
2020-04-18,0,1,8,0,15,0,19,0,40,0,20,17,24,1,11,156
