Date,Contra Costa,Los Angeles,Orange,Placer,Solano,CA,Long Beach,Pasadena
2020-02-27,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,1,0,0
2020-03-04,0,0,0,1,0,,0,0
2020-03-05,0,0,0,,0,,0,0
2020-03-06,0,0,0,,0,,0,0
2020-03-07,0,0,0,,0,,0,0
2020-03-08,0,0,0,,0,,0,0
2020-03-09,0,0,0,,0,,0,0
2020-03-10,0,0,0,,0,,0,0
2020-03-11,0,1,0,,0,,0,0
2020-03-12,0,,0,,0,,0,0
2020-03-13,0,,0,,0,,0,0
2020-03-14,0,,0,,0,,0,0
2020-03-15,0,,0,,0,,0,0
2020-03-16,0,,0,,0,,0,0
2020-03-17,0,,0,,0,,0,0
2020-03-18,0,,0,,0,,0,0
2020-03-19,0,,0,,0,,0,0
2020-03-20,0,,0,,0,,0,0
2020-03-21,0,,0,,0,,1,0
2020-03-22,2,,0,,0,,0,0
2020-03-23,0,,0,,0,,0,0
2020-03-24,0,,1,,0,,0,0
2020-03-25,0,,0,,0,,0,0
2020-03-26,1,,0,,0,,0,0
2020-03-27,0,,2,,0,,0,0
2020-03-28,0,,1,,0,,0,0
2020-03-29,0,,0,,0,,1,0
2020-03-30,0,,0,,0,,0,0
2020-03-31,0,,3,,0,,0,0
2020-04-01,0,,3,,0,,0,0
2020-04-02,1,,3,,1,,1,1
2020-04-03,2,,0,,,,0,1
2020-04-04,0,,1,,,,0,0
2020-04-05,1,,0,,,,1,0
2020-04-06,0,,0,,,,0,0
2020-04-07,1,,1,,,,3,1
2020-04-08,1,,2,,,,1,1
2020-04-09,1,,0,,,,1,1
2020-04-10,2,,0,,,,3,2
2020-04-11,1,,1,,,,0,0
2020-04-12,0,,1,,,,4,0
2020-04-13,1,,0,,,,2,2
2020-04-14,2,,0,,,,0,3
2020-04-15,3,,3,,,,0,2
2020-04-16,2,,3,,,,4,2
2020-04-17,0,,3,,,,1,4
2020-04-18,2,,4,,,,1,2
2020-04-19,0,,0,,,,2,2
2020-04-20,1,,1,,,,2,1
2020-04-21,0,,0,,,,1,3
2020-04-22,0,,1,,,,2,0
2020-04-23,1,,2,,,,0,1
2020-04-24,1,,0,,,,0,1
2020-04-25,1,,2,,,,3,1
2020-04-26,2,,1,,,,0,1
2020-04-27,0,,0,,,,3,1
2020-04-28,0,,3,,,,1,3
2020-04-29,0,,2,,,,0,6
2020-04-30,0,,1,,,,2,8
2020-05-01,0,,5,,,,1,2
2020-05-02,1,,2,,,,0,2
2020-05-03,0,,0,,,,0,2
2020-05-04,0,,5,,,,0,4
2020-05-05,0,,4,,,,1,1
2020-05-06,1,,4,,,,2,2
2020-05-07,0,,1,,,,1,2
2020-05-08,2,,5,,,,0,0
2020-05-09,0,,3,,,,3,0
2020-05-10,1,,2,,,,2,0
2020-05-11,0,,0,,,,3,0
2020-05-12,0,,1,,,,0,1
2020-05-13,0,51,3,,,,2,3
2020-05-14,0,47,0,,,,0,0
2020-05-15,0,40,4,,,,4,0
2020-05-16,2,29,2,,,,3,0
2020-05-17,0,18,2,,,,6,0
2020-05-18,0,76,0,,,,3,2
2020-05-19,1,57,0,,,,1,3
2020-05-20,0,46,10,,,,1,3
2020-05-21,0,35,14,,,,2,2
2020-05-22,0,41,6,,,,3,0
2020-05-23,0,14,12,,,,0,1
2020-05-24,0,12,1,,,,3,2
2020-05-25,0,27,0,,,,3,0
2020-05-26,0,53,0,,,,1,0
2020-05-27,0,48,5,,,,4,0
2020-05-28,1,50,6,,,,1,0
2020-05-29,2,48,3,,,,3,0
2020-05-30,1,25,1,,,,1,1
2020-05-31,0,22,1,,,,1,0
2020-06-01,0,60,0,,,,2,0
2020-06-02,1,46,3,,,,3,0
2020-06-03,0,44,8,,,,1,0
2020-06-04,1,36,7,,,,2,0
2020-06-05,0,56,9,,,,1,0
2020-06-06,3,25,2,,,,2,0
2020-06-07,1,10,1,,,,2,1
2020-06-08,2,56,0,,,,1,0
2020-06-09,1,61,8,,,,5,0
2020-06-10,1,46,13,,,,0,0
2020-06-11,0,20,4,,,,2,0
2020-06-12,0,58,8,,,,2,0
2020-06-13,1,17,7,,,,2,0
2020-06-14,1,19,4,,,,0,0
2020-06-15,1,33,0,,,,0,0
2020-06-16,3,34,12,,,87,1,1
2020-06-17,0,36,10,,,82,1,1
2020-06-18,1,38,7,,,70,2,0
2020-06-19,5,48,7,,,64,1,1
2020-06-20,2,11,10,,,71,0,0
2020-06-21,3,18,2,,,20,2,1
2020-06-22,3,34,0,,,65,0,0
2020-06-23,1,34,4,,,52,0,0
2020-06-24,1,42,26,,,101,3,1
2020-06-25,2,25,7,,,79,2,0
2020-06-26,0,23,17,,,60,2,0
2020-06-27,1,20,0,,,33,2,0
2020-06-28,2,22,3,,,31,0,0
2020-06-29,0,45,4,,,44,3,0
2020-06-30,1,35,10,,,110,0,2
2020-07-01,2,55,5,,,73,1,2
2020-07-02,2,3,9,,,100,3,2
2020-07-03,2,0,6,,,50,0,0
2020-07-04,2,30,3,,,18,1,0
2020-07-05,2,48,3,,,6,2,1
2020-07-06,2,46,0,,,111,1,1
2020-07-07,0,65,3,,,114,1,0
2020-07-08,0,50,7,,,149,3,0
2020-07-09,2,51,26,,,140,3,1
2020-07-10,1,57,10,,,94,2,2
2020-07-11,2,18,9,,,72,0,0
2020-07-12,0,13,2,,,23,0,0
2020-07-13,0,73,1,,,47,2,0
2020-07-14,0,44,9,,,140,3,1
2020-07-15,2,59,22,,,118,1,0
2020-07-16,1,62,11,,,130,1,0
2020-07-17,5,37,3,,,120,2,0
2020-07-18,3,11,25,,,90,0,0
2020-07-19,0,9,0,,,9,2,1
2020-07-20,0,50,1,,,61,0,0
2020-07-21,1,64,20,,,115,0,0
2020-07-22,1,49,8,,,157,0,1
2020-07-23,4,44,22,,,159,1,1
2020-07-24,0,53,13,,,151,2,0
2020-07-25,2,10,6,,,79,2,
2020-07-26,0,17,2,,,29,3,
2020-07-27,3,51,2,,,73,2,
2020-07-28,3,91,15,,,197,3,
2020-07-29,7,41,6,,,194,2,
2020-07-30,3,69,17,,,96,0,
2020-07-31,3,50,14,,,219,2,
2020-08-01,1,23,31,,,132,0,
2020-08-02,1,12,2,,,32,1,
2020-08-03,5,57,0,,,113,0,
2020-08-04,1,68,2,,,202,2,
2020-08-05,4,48,12,,,166,1,
2020-08-06,1,53,32,,,142,1,
2020-08-07,4,51,7,,,178,1,
2020-08-08,4,10,16,,,104,2,
2020-08-09,3,19,6,,,66,0,
2020-08-10,5,63,0,,,109,1,
2020-08-11,2,58,10,,,180,2,
2020-08-12,0,64,11,,,160,1,
2020-08-13,2,45,24,,,188,0,
2020-08-14,0,35,20,,,151,1,
2020-08-15,1,9,20,,,77,4,
2020-08-16,0,19,1,,,18,3,
2020-08-17,1,64,0,,,100,1,
2020-08-18,4,61,5,,,181,1,
2020-08-19,2,57,18,,,163,1,
2020-08-20,2,46,23,,,135,0,
2020-08-21,3,48,26,,,167,1,
2020-08-22,1,8,14,,,146,5,
2020-08-23,0,13,1,,,18,1,
2020-08-24,1,51,0,,,105,1,
2020-08-25,1,58,15,,,150,2,
2020-08-26,1,38,7,,,143,0,
2020-08-27,4,31,29,,,140,1,
2020-08-28,1,27,9,,,144,1,
2020-08-29,4,10,19,,,71,0,
2020-08-30,3,16,4,,,28,0,
2020-08-31,0,45,1,,,85,1,
2020-09-01,1,51,8,,,145,1,
2020-09-02,0,61,19,,,164,2,
2020-09-03,1,47,11,,,163,1,
2020-09-04,2,24,24,,,153,1,
2020-09-05,0,5,9,,,66,0,
2020-09-06,1,25,2,,,17,1,
2020-09-07,2,7,0,,,32,3,
2020-09-08,1,61,3,,,83,3,
2020-09-09,1,42,9,,,137,1,
2020-09-10,1,43,4,,,111,1,
2020-09-11,1,29,12,,,162,0,
2020-09-12,0,11,12,,,78,0,
2020-09-13,0,24,0,,,56,0,
2020-09-14,0,47,0,,,66,1,
2020-09-15,0,31,12,,,164,0,
2020-09-16,2,38,6,,,106,0,
2020-09-17,0,22,4,,,91,0,
2020-09-18,0,13,8,,,100,0,
2020-09-19,0,23,4,,,75,2,
2020-09-20,0,16,1,,,31,0,
2020-09-21,0,40,0,,,53,1,
2020-09-22,0,31,22,,,133,0,
2020-09-23,0,39,26,,,110,1,
2020-09-24,0,34,6,,,84,0,
2020-09-25,0,18,22,,,134,,
2020-09-26,0,10,10,,,55,,
2020-09-27,0,1,2,,,21,,
2020-09-28,0,39,0,,,32,,
2020-09-29,0,30,33,,,152,,
2020-09-30,,,19,,,,,
