Date,Arlington,Belmont,Watertown,Arlington Deaths,Belmont Deaths,Watertown Deaths
2020-03-04,0,0,0,,0,
2020-03-05,,0,0,,0,
2020-03-06,,0,0,,0,
2020-03-07,2,0,0,,0,
2020-03-08,2,0,0,,0,
2020-03-09,3,,0,,0,
2020-03-10,3,,,,0,
2020-03-11,3,1,,,0,
2020-03-12,3,,1,,0,
2020-03-13,3,3,1,,0,
2020-03-14,3,,1,,0,
2020-03-15,3,,2,,0,
2020-03-16,3,5,2,,0,
2020-03-17,3,5,2,,0,
2020-03-18,3,5,3,,0,
2020-03-19,3,6,3,,0,
2020-03-20,5,6,,,0,
2020-03-21,5,,,,0,
2020-03-22,6,,,,0,
2020-03-23,7,7,9,,0,
2020-03-24,10,7,11,,0,
2020-03-25,11,7,15,,0,
2020-03-26,11,9,18,,0,
2020-03-27,12,10,24,,0,
2020-03-28,14,11,27,,0,
2020-03-29,19,,29,,0,
2020-03-30,20,14,,,0,
2020-03-31,22,14,31,,0,
2020-04-01,26,16,37,,0,
2020-04-02,26,32,41,,1,
2020-04-03,28,32,51,2,1,
2020-04-04,35,34,57,,1,
2020-04-05,39,38,59,,1,
2020-04-06,45,41,61,,1,
2020-04-07,45,48,65,,2,
2020-04-08,51,51,69,,4,
2020-04-09,63,58,,,5,
2020-04-10,73,97,86,,13,1
2020-04-11,85,,,,13,
2020-04-12,92,,106,,13,
2020-04-13,94,113,,,13,
2020-04-14,100,118,110,,19,3
2020-04-15,105,120,119,,31,5
2020-04-16,110,120,,,31,5
2020-04-17,114,135,132,13,39,5
2020-04-18,126,,,,,
2020-04-19,169,,,,,
2020-04-20,173,,147,13,,7
2020-04-21,175,138,,16,50,
2020-04-22,185,141,163,17,51,9
2020-04-23,191,150,,19,51,
2020-04-24,193,156,186,19,52,9
2020-04-25,197,,,19,,
2020-04-26,200,,,19,,
2020-04-27,207,159,,23,53,
2020-04-28,211,161,,22,55,
2020-04-29,215,162,273,23,55,
2020-04-30,218,164,,23,55,11
2020-05-01,223,166,,23,56,
2020-05-02,225,,,,56,
2020-05-03,231,,,,56,
2020-05-04,240,,,,56,
2020-05-05,241,181,286,25,56,17
2020-05-06,251,182,305,25,57,
2020-05-07,253,184,,28,57,19
2020-05-08,255,,309,28,57,19
2020-05-09,259,,,30,57,
2020-05-10,261,,,30,57,
2020-05-11,263,189,,30,57,
2020-05-12,265,191,,30,58,
2020-05-13,266,195,330,30,58,22
2020-05-14,270,198,,33,58,22
2020-05-15,271,198,346,33,58,22
2020-05-16,273,,,33,,
2020-05-17,276,,,35,,
2020-05-18,277,205,,36,59,
2020-05-19,277,,,36,,
2020-05-20,281,210,347,36,,
2020-05-21,282,,,36,,
2020-05-22,284,214,373,37,60,23
2020-05-23,285,,,37,,
2020-05-24,289,,,37,,
2020-05-25,289,,,37,,
2020-05-26,291,217,,37,60,
2020-05-27,294,218,380,37,60,23
2020-05-28,298,218,,37,60,
2020-05-29,299,220,383,41,60,23
2020-05-30,300,,,41,,
2020-05-31,301,,383,41,,23
2020-06-01,302,223,,41,60,
2020-06-02,304,227,387,41,60,23
2020-06-03,304,229,,41,,
2020-06-04,305,,388,41,,23
2020-06-05,306,229,,41,60,
2020-06-06,307,,,41,,
2020-06-07,308,,,41,,
2020-06-08,310,230,396,41,60,23
2020-06-09,311,,,41,,
